#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J0229+20      , 02:29:03           , +20:58             , 2.089 , *       , *
  B0226+70      , 02:31:13.99        , +70:26:33.88       , 1.755 , 7.47e+06, 3.9e+31
  J0241+16      , 02:41:46           , +16:04             , 0.936 , *       , *
  J0242+62      , 02:42:35           , +62:56:50          , 0.217 , *       , *

  J0243+6027    , 02:43              , +60:27             , 2.717 , *       , *
  J0244+14      , 02:44:51           , +14:27             , 2.796 , *       , *
  J0248+4230    , 02:48:31.003       , +42:30:20.49       , 1.853 , 2.44e+09, 3.8e+34
  J0248+6021    , 02:48:18.617       , +60:21:34.72       , 2.000 , 6.24e+04, 2.1e+35
  J0250+5854    , 02:50:17.78        , +58:54:01.3        , 1.558 , 1.37e+07, 8.2e+28

  J0251+2606    , 02:51:02.5537      , +26:06:09.97       , 1.170 , 5.32e+09, 1.8e+34
  B0254-53      , 02:55:56.2925      , -53:04:21.275      , 1.514 , 2.27e+08, 1.4e+31
  J0301+35      , 03:01              , +35                , 3.100 , *       , *
  J0302+2252    , 03:02:31.990       , +22:52:12.1        , 1.014 , 2.32e+08, 1.9e+30
  B0301+19      , 03:04:33.115       , +19:32:51.4        , 0.739 , 1.7e+07 , 1.9e+31

  J0305+11      , 03:05:06           , +11:23             , 1.838 , *       , *
  J0307+7443    , 03:07:55           , +74:43:12          , 0.386 , *       , *
  J0312-0921    , 03:12:06.2         , -9:21:56           , 0.817 , 2.98e+09, 1.5e+34
  J0317+13      , 03:17:54           , +13:29             , 0.366 , *       , *
  J0318+0253    , 03:18:15.541       , +02:53:01.48       , 1.328 , 4.67e+09, 5.0e+33

  B0320+39      , 03:23:26.6619      , +39:44:52.403      , 0.952 , 7.56e+07, 9.0e+29
  J0324+5239    , 03:24:55.46        , +52:39:31.3        , 2.290 , 1.4e+07 , 3.9e+32
  J0325+6744    , 03:25:05.11        , +67:44:59.39       , 1.929 , 1.39e+07, 2.4e+31
  J0329+1654    , 03:29:08.55        , +16:54:02          , 2.557 , 6.58e+07, 1.2e+31
  B0329+54      , 03:32:59.4096      , +54:34:43.329      , 1.695 , 5.53e+06, 2.2e+32

  B0331+45      , 03:35:16.6416      , +45:55:53.452      , 2.439 , 5.8e+08 , 1.5e+31
  J0335+6623    , 03:35:57.06        , +66:23:23.6        , 1.907 , 5.8e+06 , 3.5e+31
  J0337+1715    , 03:37:43.82589     , +17:15:14.828      , 1.300 , 2.45e+09, 3.4e+34
  J0337+79      , 03:37:22           , +79:01:44          , 1.053 , *       , *
  J0340+4130    , 03:40:23.287961    , +41:30:45.2911     , 1.603 , 7.42e+09, 7.7e+33

  J0341+5711    , 03:41              , +57:11             , 2.037 , *       , *
  J0343+06      , 03:43              , +06                , 3.774 , *       , *
  J0343-3000    , 03:43:27.94        , -30:00:27.5        , 1.594 , 7.22e+08, 1.3e+29
  B0339+53      , 03:43:12.90        , +53:12:53.4        , 1.705 , 2.28e+06, 7.3e+31
  J0344-0901    , 03:44:37.471       , -09:01:02.66       , 1.507 , 5.6e+06 , 7.4e+31

  J0348+0432    , 03:48:43.639000    , +04:32:11.4580     , 2.100 , 2.57e+09, 1.6e+32
  J0349+2340    , 03:49:57.38        , +23:40:53          , 3.746 , 3.49e+07, 3.1e+30
  J0355+28      , 03:55              , +28                , 1.789 , *       , *
  J0357-05      , 03:57:56           , -05:09:44          , 25.000, *       , *
  J0357+3205    , 03:57:52.5         , +32:05:25          , 0.835 , 5.4e+05 , 5.9e+33

  B0353+52      , 03:57:44.8403      , +52:36:57.493      , 3.571 , 6.55e+06, 2.5e+33
  J0358+4155    , 03:58:03.1746      , +41:55:19.03       , 1.481 , 2.46e+07, 5.0e+32
  B0355+54      , 03:58:53.7238      , +54:13:13.784      , 1.000 , 5.64e+05, 4.5e+34
  J0358+6627    , 03:58:37.929       , +66:27:46.57       , 1.884 , 1.33e+08, 5.6e+32
  J0359+5414    , 03:59:26.01        , +54:14:55.7        , *     , 7.52e+04, 1.3e+36

  B0403-76      , 04:01:51.75        , -76:08:12.95       , 1.014 , 5.6e+06 , 3.8e+32
  J0402+4825    , 04:02:40.633       , +48:25:57.51       , 1.849 , 2.95e+07, 8.1e+31
  J0405+3347    , 04:05              , +33                , 1.668 , *       , *
  J0406+30      , 04:06              , +30                , 1.641 , *       , *
  B0402+61      , 04:06:30.0806      , +61:38:41.408      , 4.545 , 1.69e+06, 1.0e+33

  J0407+1607    , 04:07:54.939       , +16:07:16.4        , 1.337 , 5.15e+09, 1.8e+32
  J0408+551     , 04:08              , +55                , 1.573 , *       , *
  J0408+552     , 04:08              , +55                , 1.661 , *       , *
  J0410-31      , 04:10:39           , -31:07:29          , 0.415 , *       , *
  J0413+58      , 04:13              , +58                , 1.630 , *       , *

  J0414+31      , 04:14              , +31                , 1.842 , *       , *
  B0410+69      , 04:15:55.653       , +69:54:09.89       , 1.368 , 8.08e+07, 5.1e+31
  J0417+35      , 04:17:43           , +35:45             , 1.480 , *       , *
  J0417+61      , 04:17              , +61:08             , 1.837 , *       , *
  J0418-4154    , 04:18:03.7748      , -41:54:14.42       , 2.519 , 9.09e+06, 1.2e+32

  J0418+5732    , 04:18:33.867       , +57:32:22.91       , *     , 3.51e+07, 2.2e+29
  J0418+6635    , 04:18:48.0         , +66:35:25          , 2.206 , *       , *
  J0419+44      , 04:19              , +44                , 1.687 , *       , *
  J0420-5022    , 04:20:01.95        , -50:22:48.1        , *     , 1.98e+06, 2.6e+31
  J0421-0345    , 04:21:33.556       , -03:45:06.6        , 2.196 , 2.94e+07, 4.5e+30

  J0421+3255    , 04:21:33.2         , +32:55:50          , 1.939 , 2.38e+08, 3.2e+30
  J0426+4933    , 04:26:06.813       , +49:33:38.46       , 1.795 , 3.71e+05, 2.0e+33
  J0435+2749    , 04:35:51.818       , +27:49:01.7        , 1.521 , 6.33e+08, 9.3e+30
  J0437-4715    , 04:37:15.8961737   , -47:15:09.110714   , 0.157 , 1.59e+09, 1.2e+34
  J0447-04      , 04:47              , -04:35             , 0.675 , *       , *

  J0448-2749    , 04:48:41.567       , -27:49:46.74       , 1.809 , 4.81e+07, 6.4e+31
  J0449-7031    , 04:49:05.67        , -70:31:31.7        , 49.700, 2.25e+06, 1.2e+33
  B0447-12      , 04:50:08.781       , -12:48:07.10       , 1.774 , 6.76e+07, 4.8e+31
  J0451-67      , 04:51:50           , -67:18             , 49.700, *       , *
  B0450-18      , 04:52:34.1057      , -17:59:23.371      , 0.400 , 1.51e+06, 1.4e+33

  J0453+1559    , 04:53:45.41368     , +15:59:21.3063     , 0.522 , 3.9e+09 , 7.7e+31
