#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J1801-0857A   , 18:01:50.6097      , -08:57:31.853      , 10.600, *       , *
  J1801-0857B   , 18:01:50.5642      , -08:57:32.87       , 10.600, 2.08e+08, 3.6e+33
  J1801-0857C   , 18:01:50.73731     , -08:57:32.699      , 10.600, *       , *
  J1801-0857D   , 18:01:55.3632      , -08:57:24.284      , 10.600, 8.72e+09, 4.0e+33

  J1801-0857E   , 18:01:50.6232      , -08:57:31.29       , 10.600, *       , *
  J1801-0857F   , 18:01:50.7409      , -08:57:31.27       , 10.600, *       , *
  J1801-0857G   , 18:01:50.099       , -08:57:27.9        , 10.600, 1.02e+10, 2.3e+31
  J1801-0857H   , 18:01:52.5895      , -08:57:53.15       , 10.600, 2.32e+08, 8.5e+34
  J1801-0857I   , 18:01:50.5         , -08:57:32          , 10.600, *       , *

  J1801-1417    , 18:01:51.073331    , -14:17:34.526      , 1.105 , 1.08e+10, 4.4e+33
  J1801-1855    , 18:01:22.3         , -18:55:49          , 20.072, 2.22e+08, 4.3e+29
  J1801-1909    , 18:01:46.69        , -19:09:36          , 4.897 , 2.5e+07 , 2.0e+31
  J1801-2115    , 18:01:32.49        , -21:15:18          , 14.873, 4.46e+08, 7.3e+30
  J1801-2154    , 18:01:08.68        , -21:54:07.15       , 4.132 , 3.71e+05, 1.2e+34

  B1758-23      , 18:01:19.81488     , -23:04:44.637      , 4.000 , 5.83e+04, 6.2e+34
  B1757-24      , 18:01:00.016       , -24:51:27.5        , 3.803 , 1.55e+04, 2.6e+36
  B1758-29      , 18:01:46.839       , -29:20:38.1        , 3.013 , 5.21e+06, 1.0e+32
  J1801-3210    , 18:01:25.8872      , -32:10:53.733      , 6.112 , 1.64e+12, 6.9e+30
  J1801-3458    , 18:01:52.66        , -34:58:37          , 5.915 , 5.52e+07, 5.9e+30

  J1802+0128    , 18:02:27.45        , +01:28:23.7        , 7.681 , 4.16e+06, 4.9e+32
  J1802+03      , 18:02:44           , +03:38             , 5.099 , *       , *
  J1802-0523    , 18:02:12.14        , -05:23:29          , 4.070 , 1.01e+07, 2.2e+31
  J1802-1745    , 18:02:14.85        , -17:45:17          , 6.596 , 1.45e+07, 1.6e+32
  J1802-2124    , 18:02:05.335576    , -21:24:03.649      , 0.760 , 2.76e+09, 1.4e+33

  J1802-2426    , 18:02:03.10        , -24:26:43          , 12.876, 1.05e+06, 1.8e+33
  J1802-3346    , 18:02:55.2         , -33:46:45          , 13.672, 2.95e+07, 3.5e+30
  J1803+1358    , 18:03:11           , +13:59:26          , *     , *       , *
  J1803-1616    , 18:03:34.68        , -16:16:30          , 19.035, 4.8e+06 , 4.5e+32
  J1803-1857    , 18:03:59.06        , -18:57:19          , 10.784, 2.99e+06, 2.5e+31

  J1803-1920    , 18:03:29.44        , -19:20:41          , 12.534, 2.13e+07, 1.5e+32
  B1800-21      , 18:03:51.4105      , -21:37:07.351      , 4.400 , 1.58e+04, 2.2e+36
  J1803-2149    , 18:03:09.632       , -21:49:13          , *     , 8.63e+04, 6.4e+35
  B1800-27      , 18:03:31.692       , -27:12:06          , 3.466 , 3.1e+08 , 1.8e+31
  J1803-3002A   , 18:03:34.0         , -30:02:02          , 7.700 , 2.81e+09, 4.4e+33

  J1803-3002B   , 18:03:34.0         , -30:02:02          , 7.700 , *       , *
  J1803-3002C   , 18:03:34.0         , -30:02:02          , 7.700 , *       , *
  J1803-3002D   , 18:03:34.0         , -30:02:02          , 5.814 , *       , *
  J1803-3329    , 18:03:44.453       , -33:29:10.7        , 7.811 , 2.98e+07, 5.2e+31
  B1802-07      , 18:04:49.8954      , -07:35:24.69       , 7.800 , 7.84e+08, 1.5e+33

  J1804-2228    , 18:04:28.19        , -22:28:18          , 4.054 , 6.31e+07, 3.0e+31
  J1804-2717    , 18:04:21.133087    , -27:17:31.335      , 0.805 , 3.62e+09, 2.0e+33
  J1804-28      , 18:04:48           , -28:07             , 5.469 , *       , *
  J1804-2858    , 18:04:01.52323     , -28:58:46.608      , 8.237 , *       , *
  B1802+03      , 18:05:10.154       , +03:06:30.27       , 5.255 , 3.47e+06, 3.8e+33

  J1805+0615    , 18:05:42.39969     , +06:15:18.606      , 3.885 , 1.48e+09, 9.3e+34
  J1805-0619    , 18:05:31.436       , -06:19:45.4        , 5.429 , 7.43e+06, 4.1e+32
  J1805-1504    , 18:05:06.10        , -15:04:36          , 5.409 , 6.84e+07, 6.6e+30
  J1805-2032    , 18:05:37.09        , -20:32:51          , 6.694 , 7.66e+05, 5.0e+33
  J1805-2037    , 18:05:28.19        , -20:37:16          , 4.983 , 3.23e+06, 1.5e+33

  J1805-2447    , 18:05:25.93        , -24:47:30          , 4.576 , 1.8e+09 , 7.9e+29
  J1805-2948    , 18:05:42.49        , -29:48:00          , 4.589 , 1.43e+07, 2.4e+32
  J1806+1023    , 18:06:52.114       , +10:23:18.30       , 2.954 , 1.34e+08, 2.0e+31
  B1804-12      , 18:06:06.791       , -11:54:28.7        , 3.005 , 5.88e+06, 3.9e+32
  J1806-1618    , 18:06:25.78        , -16:18:38          , 10.156, 1.23e+07, 1.1e+32

  J1806-1920    , 18:06:06.6         , -19:20:23          , 12.793, 8.19e+08, 9.9e+29
  J1806-2125    , 18:06:19.80        , -21:27:55.58       , 4.886 , 6.47e+04, 4.2e+34
  J1806+2819    , 18:06:25.0658      , +28:19:01.115      , 1.330 , 6.37e+09, 4.3e+32
  J1807+04      , 18:07:25           , +04:05             , 2.390 , *       , *
  J1807+0756    , 18:07:51.235       , +07:56:43.39       , 7.935 , 5.69e+07, 5.1e+31

  B1804-08      , 18:07:38.0274      , -08:47:43.27       , 1.500 , 9.01e+07, 2.6e+32
  J1807-2459A   , 18:07:20.355604    , -24:59:52.9015     , 3.000 , *       , *
  J1807-2459B   , 18:07:20.871209    , -25:00:01.915      , 3.000 , 8.06e+08, 4.4e+34
  J1807-2557    , 18:07:13.66        , -25:57:20          , 18.556, 8.77e+06, 9.3e+30
  B1804-27      , 18:07:08.495       , -27:15:03.0        , 15.364, 1.08e+06, 8.5e+32

  J1808+00      , 18:08:19           , +00:34             , 25.000, *       , *
  J1808-0813    , 18:08:09.432       , -08:13:01.8        , 3.972 , 1.12e+07, 7.3e+31
  J1808-1020    , 18:08:45.634       , -10:20:48.3        , 8.076 , 1.22e+07, 1.4e+32
  J1808-1517    , 18:08:39.09        , -15:17:40          , 4.306 , 3.23e+06, 6.5e+32
  J1808-1726    , 18:08:42.3         , -17:26:27          , 14.163, 3.29e+08, 3.3e+31

  J1808-2024    , 18:08:39.337       , -20:24:39.85       , 13.000, 218     , 5.0e+34
  B1805-20      , 18:08:06.396       , -20:58:08          , 4.582 , 8.52e+05, 8.7e+32
  J1808-2701    , 18:08:13.23        , -27:01:21          , 2.706 , 5.92e+05, 1.7e+32
  J1808-3249    , 18:08:04.48        , -32:49:34          , 6.269 , 8.2e+05 , 5.7e+33
  J1809-0119    , 18:09:51.36        , -01:19:29.0        , 10.737, 5.15e+06, 2.2e+32

  J1809-0743    , 18:09:35.92        , -07:43:01.4        , 13.999, 3.27e+07, 1.9e+32
  J1809-1429    , 18:09:45.510       , -14:29:25.0        , 17.153, 2.71e+06, 2.9e+32
  J1809+17      , 18:09:06           , +17:04             , 3.152 , *       , *
  J1809-1850    , 18:09:37.21        , -18:50:55          , 4.667 , 1.68e+06, 2.9e+32
  J1809-1917    , 18:09:43.136       , -19:17:38.1        , 3.268 , 5.14e+04, 1.8e+36

  J1809-1943    , 18:09:51.08696     , -19:43:51.9315     , 3.600 , 3.1e+04 , 6.6e+32
  J1809-2004    , 18:09:15.87        , -20:04:12          , 5.228 , 9.46e+05, 3.5e+33
  B1806-21      , 18:09:14.329       , -21:09:02.9        , 4.119 , 2.91e+06, 4.4e+32
  J1809-2332    , 18:09:50.25        , -23:32:22.68       , 0.880 , 6.76e+04, 4.3e+35
  J1809-3547    , 18:09:26.98        , -35:47:18          , 22.564, 1.14e+08, 7.4e+30

  J1810+0705    , 18:10:47.038       , +07:05:36.3        , 5.456 , 2.01e+07, 3.3e+32
  J1810-1441    , 18:10:59.162       , -14:41:33.6        , 6.755 , 1.44e+08, 9.2e+31
  J1810-1709    , 18:10:28.21        , -17:09:27          , 14.518, 5.52e+07, 8.4e+30
  J1810+1744    , 18:10:37.28        , +17:44:37.38       , 2.361 , 5.72e+09, 4.0e+34
  J1810-1820    , 18:10:55.52        , -18:20:39          , 4.237 , 4.66e+07, 5.7e+32

  J1810-2005    , 18:10:58.9919      , -20:05:08.27       , 3.513 , 3.53e+09, 1.6e+32
  B1806-53      , 18:10:44.473       , -53:38:07.631      , 1.647 , 1.07e+07, 8.6e+32
  J1811-0154    , 18:11:19.88        , -01:54:30.9        , 11.112, 9.11e+06, 8.0e+31
  J1811+0702    , 18:11:20.42        , +07:02:29.7        , 2.965 , 2.72e+06, 1.1e+33
  J1811-1049    , 18:11:17.07        , -10:49:03          , 8.667 , 5.2e+07 , 1.7e+30

  J1811-1717    , 18:11:26.53        , -17:17:47          , 5.184 , 5.17e+07, 7.9e+31
  J1811-1736    , 18:11:55.034       , -17:36:37.7        , 4.419 , 1.83e+09, 3.1e+31
  J1811-1835    , 18:11:29.72        , -18:35:44          , 4.933 , 1.4e+06 , 1.4e+33
  J1811-1925    , 18:11:29.2         , -19:25:28          , 5.000 , 2.33e+04, 6.4e+36
  J1811-2405    , 18:11:19.854050    , -24:05:18.422      , 1.831 , 3.06e+09, 2.9e+34

  J1811-2439    , 18:11:55.53        , -24:39:53          , 3.756 , 2.22e+07, 1.6e+32
  J1811-4930    , 18:11:27.19        , -49:30:20.8        , 1.447 , 1.01e+07, 3.0e+31
  B1810+02      , 18:12:53.187       , +02:26:57.12       , 7.197 , 3.49e+06, 2.8e+32
  J1812-15      , 18:12:36           , -15:31             , 10.041, *       , *
  B1809-173     , 18:12:07.208       , -17:18:29.5        , 3.661 , 1e+06   , 4.3e+32

  B1809-176     , 18:12:15.85925     , -17:33:37.871      , 4.492 , 8.68e+06, 2.5e+32
  J1812-1910    , 18:12:34.89        , -19:10:39          , 5.922 , 1.81e+05, 1.9e+34
  J1812-20      , 18:12:36.58        , -20:58.1:00        , 11.219, 1.26e+08, 1.4e+30
  J1812-2102    , 18:12:20.93        , -21:02:36          , 14.440, 8.11e+05, 5.2e+32
  J1812-2526    , 18:12:32.30        , -25:26:38          , 22.244, 2.82e+07, 2.2e+32

  J1812-2748    , 18:12:40.58        , -27:48:03          , 2.941 , 1.19e+07, 9.4e+32
  J1812-3039    , 18:12:44.902       , -30:39:21          , 5.474 , 1.41e+07, 1.3e+32
  J1813-1246    , 18:13:23.77        , -12:45:59.2        , 2.635 , 4.34e+04, 6.2e+36
  J1813-1749    , 18:13:35.180       , -17:49:57.52       , 6.147 , 5.58e+03, 5.6e+37
  J1813+1822    , 18:13:38.76        , +18:22:15.0        , 4.989 , 2.54e+08, 2.2e+31

  J1813-2113    , 18:13:39.87        , -21:13:00.4        , 14.968, 3.25e+06, 1.1e+33
  J1813-2242    , 18:13:29.16        , -22:42:06          , 12.474, 1.09e+08, 5.3e+31
  J1813-2621    , 18:13:40.59165     , -26:21:57.055      , 3.158 , 5.63e+09, 5.7e+33
  B1811+40      , 18:13:13.281       , +40:13:39.03       , 4.917 , 5.79e+06, 1.2e+32
  J1814-0521    , 18:14:26.13        , -05:21:37.0        , 4.211 , 1.82e+07, 3.3e+31

  J1814-0618    , 18:14:41.26        , -06:18:01.7        , 5.990 , 7.47e+07, 4.4e+30
  J1814+1130    , 18:14:42.742       , +11:30:43.95       , 4.151 , 7.17e+06, 1.5e+32
  J1814-1649    , 18:14:37.35        , -16:49:28          , 5.205 , 2.4e+06 , 2.8e+32
  J1814-1744    , 18:14:43.10        , -17:44:48          , 5.118 , 8.46e+04, 4.7e+32
  J1814+22      , 18:14:36           , +22:23             , 6.461 , *       , *

  J1814+31      , 18:14:31           , +31:30:01          , *     , *       , *
  J1815-1738    , 18:15:14.67        , -17:38:06.83       , 4.887 , 4.04e+04, 3.9e+35
  J1815-1910    , 18:15:03.08        , -19:10:00.4        , 6.139 , 5.46e+05, 7.3e+32
  J1815+5546    , 18:15:05.74        , +55:46:23.3        , 25.000, 7.14e+07, 4.8e+31
  J1816-0755    , 18:16:24.543       , -07:55:22.5        , 3.152 , 5.32e+05, 2.5e+34

  J1816-1446    , 18:16:29.19        , -14:46:30          , 10.097, 7.1e+06 , 2.5e+32
  B1813-17      , 18:16:18.662       , -17:29:02.7        , 4.432 , 1.71e+06, 6.0e+32
  B1813-26      , 18:16:35.399       , -26:49:53          , 3.591 , 1.41e+08, 1.3e+31
  J1816+4510    , 18:16:35.93436     , +45:10:33.8618     , 4.356 , 1.17e+09, 5.2e+34
  J1816-5643    , 18:16:36.464       , -56:43:42.10       , 2.580 , 1.79e+09, 7.4e+30

  J1817-0743    , 18:17:49.79        , -07:43:18.9        , 0.195 , *       , *
  J1817-1511    , 18:17:36.20        , -15:11:39          , 7.341 , 2.49e+06, 5.0e+33
  J1817-1742    , 18:17:09.034       , -17:42:01.1        , *     , 1.15e+05, 2.4e+35
  J1817-1938    , 18:17:06.82        , -19:38:36          , 17.002, 9.01e+07, 1.7e+30
  B1814-23      , 18:17              , -23:11             , 7.934 , *       , *

  B1813-36      , 18:17:05.857       , -36:18:04.6        , 4.383 , 3.03e+06, 1.4e+33
  J1817-3837    , 18:17:00.270       , -38:37:59.7        , 6.086 , 1.05e+07, 4.0e+32
  J1818-0151    , 18:18:25.77        , -01:51:54.0        , 19.138, 1.46e+06, 6.1e+32
  J1818-1116    , 18:18:26.45        , -11:16:29          , 13.007, 2.26e+06, 9.3e+32
  B1815-14      , 18:18:23.7660      , -14:22:36.71       , 5.440 , 2.27e+06, 3.2e+33

  J1818-1448    , 18:18:27.91        , -14:48:38          , 4.997 , 7.25e+05, 1.1e+34
  J1818-1519    , 18:18:14.6         , -15:19:43          , 5.362 , 3.63e+06, 2.0e+32
  J1818-1541    , 18:18:37.52        , -15:41:45          , 4.792 , 9.02e+05, 2.3e+33
  J1818-1556    , 18:18:51.95        , -15:56:04          , 3.464 , 2.14e+07, 3.2e+31
  J1818-1607    , 18:18:00.19340     , +16:07:53.0049     , 25.000, 516     , 6.5e+35

  J1819-0925    , 18:19:50.542       , -09:25:49.9        , 13.840, 4.31e+06, 2.0e+32
  J1819-1008    , 18:19:39.986       , -10:08:28          , 13.539, 3.62e+06, 1.9e+33
  J1819-1114    , 18:19:28.78        , -11:14:43          , 5.795 , 8.23e+06, 8.8e+32
  J1819-1131    , 18:19:58.15        , -11:31:29          , 16.385, 2.89e+07, 1.1e+31
  J1819+1305    , 18:19:56.226       , +13:05:15.25       , 4.047 , 4.68e+07, 1.2e+31

  J1819-1318    , 18:19:43.66        , -13:18:42          , 0.811 , 4.02e+07, 6.8e+30
  J1819-1408    , 18:19:56.8         , -14:08:01.6        , 8.976 , 1.09e+07, 1.8e+31
  J1819-1458    , 18:19:34.16        , -14:58:00.00       , 3.301 , 1.2e+05 , 2.9e+32
  J1819-1510    , 18:19:53.691       , -15:10:20.6        , 4.123 , 4.57e+08, 2.7e+31
  J1819-17      , 18:19:30           , -17:05             , 1.881 , *       , *

  J1819-1717    , 18:19:43.40        , -17:17:16          , 4.793 , 1.8e+06 , 2.2e+33
  J1819-37      , 18:19              , -37                , 2.712 , *       , *
  B1818-04      , 18:20:52.5934      , -04:27:37.712      , 2.857 , 1.5e+06 , 1.2e+33
  J1820-0509    , 18:20:22.728       , -05:09:38.5        , 3.297 , 5.73e+06, 9.6e+32
  B1817-13      , 18:20:19.759       , -13:46:15.3        , 5.862 , 3.25e+06, 2.3e+32

  J1820-1529    , 18:20:41.31        , -15:29:42.26       , 5.195 , 1.39e+05, 4.0e+34
  B1817-18      , 18:20:39.087       , -18:18:03.3        , 14.039, 5.25e+07, 1.2e+32
  J1821+0155    , 18:21:38.88368     , +01:55:21.993      , 1.723 , 1.85e+10, 3.0e+31
  J1821-0256    , 18:21:10.310       , -02:56:38.6        , 3.160 , 1.76e+08, 2.1e+31
  J1821-0331    , 18:21:44.70        , -03:31:12.7        , 7.556 , 5.65e+06, 1.4e+32

  J1821-1419    , 18:21:34.3         , -14:19:26          , 6.129 , 2.93e+04, 7.8e+33
  J1821-1432    , 18:21:39.777       , -14:32:53.2        , 4.540 , 5.65e+06, 3.0e+31
  J1821+1715    , 18:21:13.503       , +17:15:47.06       , 4.140 , 2.48e+07, 1.3e+31
  J1821+4147    , 18:21:52.345       , +41:47:02.55       , 4.444 , 1.16e+07, 3.4e+31
  J1822+02      , 18:22              , +02                , 5.411 , *       , *

  J1822+0705    , 18:22:18.44        , +07:05:19.0        , 2.873 , 1.24e+07, 2.7e+31
  J1822-0719    , 18:22:28.073       , -07:19:55.0        , 4.611 , 4.16e+08, 6.0e+30
  J1822-0848    , 18:22:51.86        , -08:48:59.0        , 3.826 , 9.8e+07 , 9.2e+30
  J1822-0902    , 18:22:35.745       , -09:02:59.1        , 15.673, 1.33e+05, 2.1e+35
  J1822-0907    , 18:22:39.80        , -09:07:36          , 16.078, 4.35e+07, 1.5e+31

  J1822+1120    , 18:22:14.60        , +11:20:56.2        , 7.776 , 1.21e+07, 1.6e+31
  J1822-1252    , 18:22:41.7         , -12:52:49          , 6.404 , 3.87e+05, 3.8e+32
  B1820-14      , 18:22:54.042       , -14:00:02.4        , 4.753 , 3.75e+06, 3.6e+33
  J1822-1604    , 18:22:18.00        , -16:04:26.8        , *     , 6.26e+06, 1.4e+30
  J1822-1617    , 18:22:36.6         , -16:17:35          , 14.868, 6.99e+06, 1.3e+32

  B1819-22      , 18:22:58.95        , -22:56:31          , 3.260 , 2.19e+07, 8.1e+30
  J1822+2617    , 18:22:44.819       , +26:17:26.83       , 7.861 , 1.17e+07, 1.5e+32
  J1822-4209    , 18:22:11.356       , -42:09:10.98       , 3.687 , 1.58e+07, 1.9e+32
  J1823-0154    , 18:23:52.146       , -01:54:04.6        , 5.271 , 1.06e+07, 1.0e+32
  B1821+05      , 18:23:30.9731      , +05:50:24.31       , 2.000 , 5.26e+07, 2.1e+31

  B1820-11      , 18:23:40.30        , -11:15:11          , 5.371 , 3.22e+06, 2.5e+33
  J1823-1126    , 18:23:19.86        , -11:26:04          , 9.274 , 8.01e+05, 2.3e+32
  J1823-1347    , 18:23:24.25        , -13:47:54          , 5.873 , 1.02e+06, 1.6e+33
  J1823-1526    , 18:23:21.42        , -15:26:22          , 8.157 , 5.7e+06 , 4.2e+31
  J1823-1807    , 18:23:09.68        , -18:07:33          , 10.147, 9.31e+07, 2.5e+30

  B1820-30A     , 18:23:40.48701     , -30:21:40.127      , 7.900 , 2.55e+07, 8.3e+35
  B1820-30B     , 18:23:41.5455      , -30:21:40.94       , 7.900 , 2.01e+08, 2.2e+31
  J1823-3021C   , 18:23:41.1516      , -30:21:38.45       , 7.900 , 2.87e+07, 1.3e+32
  J1823-3021D   , 18:23:40.5312      , -30:21:43.66       , 7.900 , *       , *
  J1823-3021E   , 18:23:38.93        , -30:22:22.3        , 7.900 , *       , *

  J1823-3021F   , 18:23:40.67        , -30:21:39.9        , 7.900 , *       , *
  J1823-3021G   , 18:23:40.7213      , -30:21:35.63       , 7.900 , *       , *
  J1823-3021H   , 18:23:40.48        , -30:21:39.90       , 3.144 , *       , *
  B1820-31      , 18:23:46.7883      , -31:06:49.75       , 1.586 , 1.54e+06, 5.0e+33
  J1823-3543    , 18:23:35           , -35:44:42          , *     , *       , *

  J1824-0127    , 18:24:53.43        , -01:27:51.4        , 2.219 , 1.01e+07, 9.9e+30
  J1824-0132    , 18:24:55.575       , -01:32:24.0        , 3.096 , 1.26e+08, 9.9e+31
  J1824+1014    , 18:24:14.932       , +10:14:43.82       , 2.904 , 1.2e+10 , 3.2e+33
  B1821-11      , 18:24:29.538       , -11:18:42.6        , 6.003 , 1.94e+06, 1.7e+33
  J1824-1159    , 18:24:56.151       , -11:59:53.4        , 4.457 , 1.07e+06, 4.5e+33

  J1824-1350    , 18:24:50.181       , -13:50:21.0        , 4.693 , 3.65e+07, 8.8e+30
  J1824-1423    , 18:24:57.387       , -14:23:05.3        , 4.548 , 1.45e+07, 3.3e+32
  J1824-1500    , 18:24:14.10        , -15:00:33          , 6.078 , 8.62e+06, 4.3e+32
  B1821-19      , 18:24:00.56        , -19:46:03.36       , 3.700 , 5.73e+05, 3.0e+34
  J1824-2233    , 18:24:10.32        , -22:33:11          , 4.597 , 6.12e+07, 7.6e+30

  J1824-2328    , 18:24:28.64        , -23:28:17          , 8.965 , 1.37e+07, 2.0e+31
  B1821-24A     , 18:24:32.007904    , -24:52:10.878      , 5.500 , 2.99e+07, 2.2e+36
  J1824-2452B   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452C   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452D   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *

  J1824-2452E   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452F   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452G   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452H   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452I   , 18:24:32.53        , -24:52:08.6        , 5.500 , *       , *

  J1824-2452J   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452K   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452L   , 18:24:32.81        , -24:52:11.20       , 5.500 , *       , *
  J1824-2452M   , 18:24:33.1835      , -34:52:08.2        , 8.360 , 6.17e+08, 4.4e+34
  J1824-2452N   , 18:24:33.1418      , -25:52:11.89       , 4.072 , 3.34e+08, 1.7e+35

  J1824-2537    , 18:24:30.587       , -25:37:19          , 7.301 , 8.04e+06, 1.6e+33
  B1822+00      , 18:25:15.324       , +00:04:19.70       , 1.861 , 1.41e+07, 7.3e+31
  J1825-0319    , 18:25:55.9531      , -03:19:57.570      , 3.862 , 1.06e+10, 2.8e+33
  B1822-09      , 18:25:30.594       , -09:35:21.2        , 0.300 , 2.33e+05, 4.5e+33
  J1825-1108    , 18:25:18.3         , -11:08:54          , 2.750 , 1.61e+07, 1.1e+31

  B1822-14      , 18:25:02.96        , -14:46:53.77       , 4.440 , 1.95e+05, 4.1e+34
  J1825-31      , 18:25:58           , -31:02:20          , 3.967 , *       , *
  J1825-33      , 18:26:02           , -33:21             , 1.238 , *       , *
  B1823-11      , 18:26:05.472       , -11:31:43.6        , 3.976 , 6.75e+06, 2.1e+31
  J1826-1256    , 18:26:08.53        , -12:56:33.0        , 1.550 , 1.44e+04, 3.6e+36

  B1823-13      , 18:26:13.175       , -13:34:46.8        , 3.606 , 2.14e+04, 2.8e+36
  J1826-1419    , 18:26:42.391       , -14:19:21.6        , 3.243 , 1.39e+06, 7.6e+32
  J1826-1526    , 18:26:12.60        , -15:26:03          , 14.919, 5.58e+06, 7.7e+32
  J1826-2415    , 18:26:36.0260      , -24:15:54.5        , 2.753 , 4.29e+09, 6.6e+33
  J1827-0750    , 18:27:02.735       , -07:50:19.2        , 9.830 , 2.77e+06, 3.1e+33

  J1827-0849    , 18:27:36.4         , -08:49:42          , *     , 3.24e+09, 3.8e+34
  J1827-0934    , 18:27:45.884       , -09:34:16.4        , 4.068 , 1.12e+06, 2.1e+33
  B1824-10      , 18:27:05.479       , -09:58:43.1        , 5.034 , 3.88e+06, 2.7e+33
  J1827-1446    , 18:27:24.60        , -14:46:28          , *     , 1.74e+05, 1.4e+34
  J1828-0611    , 18:28:20.715       , -06:11:51.5        , 12.114, 2.92e+06, 2.9e+33

  J1828+0625    , 18:28:28.03        , +06:25:00.5        , 1.000 , *       , *
  J1828-1007    , 18:28:30.356       , -10:07:10.1        , 4.014 , 3.96e+06, 6.7e+33
  J1828-1057    , 18:28:33.24        , -10:57:26.9        , 3.648 , 1.89e+05, 5.5e+34
  J1828-1101    , 18:28:18.8         , -11:01:50.83       , 4.767 , 7.72e+04, 1.6e+36
  J1828+1221    , 18:28:22.161       , +12:21:20.9        , 3.849 , 1.39e+07, 1.9e+31

  J1828-1336    , 18:28:42.85        , -13:36:45          , 7.949 , 1.37e+07, 6.2e+31
  J1828+1359    , 18:28:53.338       , +13:59:35.36       , 2.754 , 1.61e+07, 7.1e+31
  J1828-2119    , 18:28:21.56        , -21:19:56          , 17.961, 6.44e+06, 3.7e+32
  J1829+0000    , 18:29:47.14        , +00:00:08.5        , 4.353 , 6.01e+06, 2.6e+33
  J1829-0734    , 18:29:05.37        , -07:34:22          , 6.094 , 1.05e+06, 5.9e+33

  J1829-1011    , 18:29:06.06        , -10:11:25          , 4.938 , *       , *
  B1826-17      , 18:29:43.137       , -17:51:03.9        , 5.915 , 8.77e+05, 7.6e+33
  J1829+2456    , 18:29:34.6668      , +24:56:18.193      , 0.909 , 1.24e+10, 3.0e+31
  J1829+25      , 18:29              , +25                , 8.926 , *       , *
  J1830-0052    , 18:30:30.70        , -00:52:54.0        , 10.252, 2.31e+07, 2.3e+32

  J1830-0131    , 18:30:19.612       , -01:31:48.1        , 3.502 , 1.15e+06, 2.3e+34
  J1830-10      , 18:30:06           , -10:39             , 3.420 , *       , *
  B1828-11      , 18:30:47.51        , -10:59:26.52       , 3.147 , 1.07e+05, 3.6e+34
  J1830-1135    , 18:30:01.72        , -11:35:32          , 3.757 , 2.06e+06, 7.8e+30
  J1830-1313    , 18:30:41.98        , -13:13:16.2        , 12.631, 6.91e+06, 1.6e+32

  J1830-1414    , 18:30:00.35        , -14:14:37          , 10.100, 1.6e+08 , 6.5e+30
  J1831-04      , 18:31:00           , -04:29             , 4.910 , *       , *
  J1831-0823    , 18:31:36.334       , -08:23:23.9        , 3.886 , 3.14e+07, 5.3e+31
  J1831-0952    , 18:31:34.304       , -09:52:01.7        , 3.683 , 1.28e+05, 1.1e+36
  J1831-1223    , 18:31:12.83        , -12:23:31          , 4.875 , 8.27e+06, 9.3e+30

  J1831-1329    , 18:31:55.96        , -13:29:56          , 6.314 , 1.15e+07, 1.2e+31
  J1831-1423    , 18:31:29.10        , -14:23:46          , 10.121, 7.35e+06, 3.3e+32
  J1832+0029    , 18:32:50.7         , +00:29:27          , 1.120 , 5.45e+06, 4.0e+32
  J1832-0644    , 18:32:42.67        , -06:44:01.8        , 10.253, 3.18e+05, 3.6e+33
  B1829-08      , 18:32:37.013       , -08:27:03.7        , 5.200 , 1.61e+05, 9.3e+33

  J1832-0836    , 18:32:27.592488    , -08:36:55.03357    , 2.083 , 5.21e+09, 1.6e+34
  B1829-10      , 18:32:40.866       , -10:21:32.78       , 4.685 , 1.25e+06, 4.6e+33
  J1832+27      , 18:32:10           , +27:58             , 3.717 , *       , *
  J1832-28      , 18:32:30           , -28:43             , 8.166 , *       , *
  J1833-0209    , 18:33:05.411       , -02:09:16.4        , 13.360, 1.68e+06, 4.4e+33

  B1831-03      , 18:33:41.8945      , -03:39:04.258      , 2.500 , 2.62e+05, 5.1e+33
  J1833-0556    , 18:33:38.88        , -05:56:05          , 9.390 , 1.88e+07, 1.4e+31
  J1833-0559    , 18:33:07.60        , -05:59:25          , 6.827 , 6.2e+05 , 4.3e+33
  B1830-08      , 18:33:40.268       , -08:27:31.6        , 4.500 , 1.47e+05, 5.8e+35
